model,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,hit@5,hit@10,hit@20
SASRec (Baseline),0.05796843168864633,0.09118971397553406,0.13588042365759467,0.037054229324705576,0.047736231163183825,0.058973653211081195,0.05796843168864633,0.09118971397553406,0.13588042365759467
TimeSASRec,0.059627942566208764,0.09321709672250689,0.13851929120083187,0.03840982657007497,0.049203877687056224,0.06059426974442341,0.059627942566208764,0.09321709672250689,0.13851929120083187
